NAME OF CHURCH,CITY,COUNTY,STATE,"CITY, COUNTY, STATE",SOURCE,ASSOCIATION,YEAR,PASTOR,CLERK,# OF MEMBERS,POST OFFICE,YEAR ORGANIZED,DELEGATES,DELEGATES,DELEGATES,DELEGATES
Bluestone,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Daniel, Benjamin","Jeffress, J. R.",307,Spring Hill,,,,,
Cedar Grove,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Brown, J. W.","Read, F.",29,Oakley,,,,,
Cherry Hill,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Moseley, Jordan","Pool, J. S.",325,Buffalo Springs,,,,,
Greenwood,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Ranson, J. M.","Morton, R.",44,Boydton,,,,,
Jerusalem,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Wilson, Lewis","Hudson, Moses",40,Lombardy Grove,,,,,
Lombardy Grove,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Brown, J. W.","Smith, Chas.",154,Smith X Roads,,,,,
Lone Oake,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Davis, C. W.","Hayes, J. A.",288,Stony Cross,,,,,
Mount Ararat,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Jefress, L. R.","Dodson, A. A.",62,Clarksville,,,,,
Mount Oive,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Jeffress, J. W.","Daniel, Moses",80,Clarksville,,,,,
Mt. Zion,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Pool, J. B.","Puryear, W. K.",257,Clarksville,,,,,
New Liberty,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Ranson, J. M.",Bowers L. C.,235,Clarksville,,,,,
New Light,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Jeffress, J. W.","Wimbish, William",12,Clarksville,,,,,
North View,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,None,"Ogburn, A.",188,North View,,,,,
