NAME OF CHURCH,CITY,COUNTY,STATE,"CITY, COUNTY, STATE",SOURCE,ASSOCIATION,YEAR,PASTOR,CLERK,# OF MEMBERS,POST OFFICE,YEAR ORGANIZED,DELEGATES,DELEGATES,DELEGATES,DELEGATES
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1889,BCBA,1889,"Elam, J. R.","Lipscomb, S. A.",115,Randolph,N/A,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1889,BCBA,1889,,"Terrell, G.",25,Wyliesburg,N/A,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1889,BCBA,1889,"Hall, F. L.","Anderson, P. E. ",404,Meherrin,N/A,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1889,BCBA,1889,"Almond, J.","Fowlkes, W. A.",118,Briery,N/A,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1889,BCBA,1889,"Cheatham, A.","Jenkins, H. H.",200,Lunenburg C. H.,N/A,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1889,BCBA,1889,"Jones, D. W.","Hankins, L. T.",289,Fort Mitchell,N/A,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Moseley, J.","Skipwith, V. L.",197,Clarksville,,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Jones, D. W.","Jones, C.",107,Clarksville,,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Pettus, T.E.","Bailey, J. A.",43,Skipwith,,,,,
New Hope,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Pettus, T.E.","Bugg, I.",90,Boydton,,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Jones, D. W.","Burwell, J.",18,Finneywood,,,,,
Bloom Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Bagley, N.C.","Baskerville, B.",70,Union Level,,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Thomas, J. W.","Ogborn, A.",205,North View,,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,,"Simmons, C. R.",99,South Hill,,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Nicholson, G. W.","Jones, J. W.",199,Smith X Roads,,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,,"Puryear, C. A.",136,Abbyville,,,,,
St. Mathew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Coleman, C. H.","Dean, S. L.",,Oakley,,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Yancy, R. C.","Hays, W. H.",60,Boydton,,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,,"Roberts, C. J.",289,Spring Hill,,,,,
Beautiful Plain,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Moseley, J.","Yancy, N. C.",63,Overland,,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,,"Pettus, Anna",215,Clarksville,,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,,"Venable, J. H.",56,Buffalo Springs,,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,,"Dodson, B. B.",56,Oakley,,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Bagley, N.C.","Gregory, H.",198,Swepson,,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,,"Evans, H. C.",208,Inca,,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,,"Sommerville, J.",182,Clarksville,,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Pettus, T.E.","Young, A. L.",87,Clarksville,,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Moseley, J.","Pool, J. S.",301,Buffalo Springs,,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Yancy, R. C.","Goode, A. J.",259,Boydton,,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Bagley, N.C.","Winn, J. W.",387,Stony Cross,,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1890,BCBA,1890,"Yancy, R. C.","Davis, C. W.",572,Chase City,,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1890,BCBA,1890,,"Morton, Wm. P.",658,Smithville,,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1890,BCBA,1890,"Jordan, N.","Wilson, J. C.",489,Keysville,,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1890,BCBA,1890,"Elam, J. R.","Lipscomb, S. A.",126,Randolph,,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1890,BCBA,1890,"Hall, F. L.","Saunders, A. L.",144,Dupree's Store,,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1890,BCBA,1890,"Moseley, J.","Atkins, W. P.",1022,Red Oak Grove,,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1890,BCBA,1890,,"Daniel, E.",216,Drake's Branch,,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1890,BCBA,1890,,"Terry, G.",35,Wyliesburg,,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1890,BCBA,1890,"Hall, F. L.","Anderson, P. E. ",425,Meherrin,,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1890,BCBA,1890,"Almond, J.","Fowlks, W. A.",151,Briery,,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1890,BCBA,1890,"Cheatham, A.","Jefferson, R. L.",239,Lunenburg C. H.,,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1890,BCBA,1890,"Jones, D. W.","Hankins, L. T.",285,Fort Mitchell,,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Yancy, R. C.","Goode, A. J.",190,Boydton,,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,,"Simmons, C.",135,South Hill,,,,,
N. Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Moseley, Jordan","Cousin, E. A.",154,Clarksville,,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Bagley, N.C.","Winn, J. W.",431,Drapersville,,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Jones, D. W.","Dodson, Miss M. A.",136,Clarksville,,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Lewis, R. V.","Wartman, Miss R.",84,Lambert,,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Jeffress, James","Venable, J. H.",51,Buffalo Springs,,,,,
Bloom Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Bagley, N.C.","Baskerville, B.",88,Union Level,,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Yancy, R. C.","Davis, C. W.",589,Chase City,,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,,"Goode, S. G.",74,Skipwith,,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Moseley, Jordan","Poole, J. S.",295,Buffalo Springs,,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Jeffress, J. S.","Boswell, Miss B.",72,Oakley,,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,,"Smith, Chas.",197,Smith's X Roads,,,,,
Beautiful Plain,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,,"Yancy, N. C.",58,Averett,,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Moseley, Jordan","Skipwith, A.",105,Clarksville,,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Pool, J. B.","Somerville, J.",201,Clarksville,,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Bagley, N.C.","Gregory, H.",233,Baskerville,,,,,
St. Matthre,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Coleman, H. H.","Dean, S. S.",107,Oakley,,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Johnson, S. L.","Young, Miss A.",94,Clarksville,,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Yancy, R. C.","Hayes, W. H.",96,Boydton,,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,,"Baily, J. A.",45,Skipwith,,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Jeffress, J. S.","Jeffress, Miss M. L.",326,Spring Hill,,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Wilson, L. N.","Puryear, C. A.",130,Abbyville,,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Thomas, J. W.","Stone, Chas. E.",227,North View,,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Johnson, S. L.","Evans, H. C.",211,Inca,,,,,
New Hope,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Bagby, N. C.","Walker, J. L.",112,Boydton,,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1891,BCBA,1891,"Jones, D. W.","Burwell, J.",18,Finneywood,,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1891,BCBA,1891,"Mosely, Jordan","Atkins, W. P.",1031,Red Oak Grove,,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1891,BCBA,1891,"Hall, F. L.","Morton, Wm. P.",688,Smithville,,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1891,BCBA,1891,"Hall, F. L.","Saunders, A. L.",169,Dupree's Store,,,,,
B. Ch. Of Wyllis'g.,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1891,BCBA,1891,,"Terry, Geo.",35,Wyliesburg,,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1891,BCBA,1891,"Jordan, Nelson","Wilson, J. C.",504,Keysville,,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1891,BCBA,1891,"Jonson, S. L.","Daniel, Edward",258,Drake's Branch,,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1891,BCBA,1891,,"Lipscomb, S. A.",132,Randolph,,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1891,BCBA,1891,"Hall, F. L.","Anderson, P. E. ",447,Meherrin,,,,,
N. Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1891,BCBA,1891,"Almond, J.","Eggleston, Y. D.",151,Briery,,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1891,BCBA,1891,,"Love, J. W.",223,"Lunnenburg, C. H.",,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1891,BCBA,1891,"Jones, D. W.","Hankins, L. T.",285,Fort Mitchell,,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Yancy, R. C.","Goode, A. J.",209,Boydton,,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Baskerville, J. L.","Taylor, G.",149,South Hill,,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Mosely, Jordan","Cousin, E. A.",197,Finchley,,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Bagby, N. C.","Winn, J. W.",404,Drapersville,,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,,"Townes, Nannie D.",97,Clarksville,,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Jones, Ben","Wartman, R. B.",85,Lambert,,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Jeffress, James","Shelton, Samuel",67,Buffalo Springs,,,,,
Bloom Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Jones, Isaac","Baskerville, W. H.",85,Union Level,,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Yancy, R. C.","Davis, C. W.",638,Chase City,,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Ruffin, B. J.","Gregory, Thomas",92,Skipwith,,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Mosely, Jordan","Pool, J. S.",350,Buffalo Springs,,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,,"Boswell, Bettie",62,Oakley,,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Jones, Isaac","Smith, Charles",182,Smith's X Roads,,,,,
Beautiful Plains,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Johnson, N. C.","Yancy, N. C.",91,Averett,,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Mosely, Jordan","Skipwith, V. L.",112,Clarksville,,,,,
"Mt, Zion",,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Pool, J. B.","Somerville, Joseph",201,Clarksville,,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Bagby, N. C.","Gregory, H.",150,Baskerville,,,,,
St. Matthew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Coleman, H. H.","Deans, S. S.",110,Oakley,,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Johnson, S. L.","Young, A.",90,Clarksville,,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Yancy, R. C.","Hayes, W. H.",108,Boydton,,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Mosely, Stephen","Bailey, J. A.",56,Skipwith,,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Jeffress, James","Roberts, C. J.",381,Chase City,,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Wilson, L. N.","Haskins, Alaxander",148,Abbyville,,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Thomas, J. W.","Stone, Charlie E.",244,North View,,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Johnson, S. L.","Evans, H. E.",217,Inca,,,,,
New Hope,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Bagby, N. C.","Noel, J. A.",150,Boydton,,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,,"Burrel, J",37,Finneywood,,,,,
Venture's Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Jones, Isaac","Blexander, Charles",60,Swepson,,,,,
St. Douglass,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1892,BCBA,1892,"Baskerville, W. L.","Ogburn, Susie",28,Boydton,,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1892,BCBA,1892,"Mosely, Jordan","Smith, Lillie",1013,Red Oak Grove,,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1892,BCBA,1892,"Hall, F. L.","Morton, Wm. P.",732,Smithville,,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1892,BCBA,1892,"Anderson, P. E.","Saunders, A. L.",174,Dupree's Store,,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1892,BCBA,1892,"Wilson, L. N.","Elam, James",48,Wyliesburg,,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1892,BCBA,1892,"Jordan, Nelson","Wilson, J. C.",502,Keysville,,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1892,BCBA,1892,"Johnson, S. L.","Daniel, Edward",273,Drakes Branch,,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1892,BCBA,1892,,,,,,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1892,BCBA,1892,"Hall, F. L.","Anderson, P. E. ",544,Meherrin,,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1892,BCBA,1892,"Anderson, P. E.","Eggleston, Y. D.",149,Briery,,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1892,BCBA,1892,"Allmond, J. W. T.","Love, J. W.",223,"Lunenburg, C. H.",,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Yancy, R. C.","Davis, C. W.",651,Chase City,,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Jeffress, J.","Young, J. R.",64,Skipwith,,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Ruffin, B. J.","Goode, S. G.",98,Skipwith,,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Moseley, Jordan","Towns, L. L.",31,Finchley,,,,,
St. Mathew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Jeffress, J. S.","Leigh, Thomas",96,Oakley,,,,,
Beautiful Plain,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Johnson, N. C.","Wharton, Geo. D.",88,Averett,,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Bagby, N. C.","Faraas, John",175,Baskerville,,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Bagby, N. C.","Williams, G. W.",419,Drapersville,,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Yancy, R. C.","Goode, A. J.",255,Boydton,,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Thomas, J. W.","Whittle, H. L.",232,North View,,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Johnson, N. C.","Harris, V. C.",229,Inca,,,,,
St. Douglass,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Tharp, L. T.","Hill, F. A.",50,Antlers,,,,,
New Hope,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Bagby, N. C.","Neal, J. M.",86,Boydton,,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Jeffress, J. S.","Degraphenreed, F.",74,Buffalo Springs,,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Thomas, J. W.","Burwell, J.",78,Finneywood,,,,,
Venture's Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Jones, I","Alexander, C.",60,Swepson,,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Wilson, L. N.","Moody, R.",172,Abbyville,,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Johnson, H.","Young, A L.",84,Clarksville,,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,,"Boswell, G. G.",65,Oakley,,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Moseley, J.","Skipwith, V. L.",132,Clarksville,,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Johnson, N. C.","Morson, R",111,Clarksville,,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Jones, B.","Wartman, J. W.",71,South Hill,,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Jones, I.","Smith, C.",108,Smith's X Roads,,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Yancy, R. C.","Goode, W. H.",125,Inca,,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Pool, J. B.","Somerville, J.",203,Clarksville,,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Baskerville, J. L.","Simmons, C. R.",109,South Hill,,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Mosley, J.","Pool, J. S.",387,Buffalo Springs,,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Jeffress, J. S.","Powell, J. L.",394,Hanford,,,,,
Bloom Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1894,BCBA,1894,"Jones, I.","Baskerville, W. H.",96,Union Level,,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,"Mosley, J.","Moseley, E.",1035,Red Oak Grove,,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,"Hall, F. L.","Holcomb, T. W.",806,Smithville,,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,"Anderson, P. E.","Semore, F. J.",100,Dupree's Store,,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,"Hall, F. L.","Dupree, George",242,Drake's Branch,,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,,"Johnson, L. E.",150,Randolph,,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,"Jordan, N.","Bailey, L.",551,Keysville,,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,"Wilson, L. N.","Elam, J.",71,Wyliesburg,,,,,
Union Baptist,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,"Clark, W.","Wilson, J. C.",14,Keysville,,,,,
Organ Hill,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1894,BCBA,1894,"Daniel, E.","Harris, Sam",60,Drake's Branch,,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1894,BCBA,1894,"Hall, F. L.","Watkins, M. E.",649,Meherrin,,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1894,BCBA,1894,"Anderson, P. E.","Fowlks, S. M.",139,Briey,,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1894,BCBA,1894,"Henderson, S. S.","Hankins, L. T.",291,Fort Mitchell,,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1894,BCBA,1894,"Almond, J. W. T.","Hicks, L. J. E.",152,"Lunenburg, C. H.",,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Yancy, R. C.","Davis, C. W.",648,Chase City,,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Jeffress, J. S.","Powell, J. L.",413,Hanford,,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Moseley, J.","Hays, W. H.",361,Jeffress,,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Bagby, N. C.","Whittle, H. L.",233,North View,,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Moseley, Jordan","Skipwith, V. L.",144,Clarksville,,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Jones, I.","Smith, Charles",98,Smith's X Roads,,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Johnson, H.","Harris, V. C.",237,Inca,,,,,
New Hope,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Bagby, N. C.","Neal, J. M.",89,Boydton,,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Ruffin, B. J.","Hunt, A.",77,Oakley,,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Yancy, R. C.","Goode, A. J.",300,Boydton,,,,,
