FID,NAME,JURISTYPE,LOCATIONS,VACONCONV_1869_DELEGATE,CD4_1878,CD4_1880,CD4_1882,CD4_1884,CD4_1886,CD4_1888,BBA_1882,BBA_1882_CH,BBA_1882_MEM,BBA_1885,BBA_1885_CH,BBA_1885_MEM,BBA_1886,BBA_1886_CH,BBA_1886_MEM,BBA_1887,BBA_1887_CH,BBA_1887_MEM,BBA_1888,BBA_1888_CH,BBA_1888_MEM,BBA_1889,BBA_1889_CH,BBA_1889_MEM,BCBA_1871_CH,BCBA_1871_MEM,BCBA_1873_CH,BCBA_1873_MEM,BCBA_1880_CH,BCBA_1880_MEM,BCBA_1884_CH,BCBA_1884_MEM,BCBA_1885_CH,BCBA_1885_MEM,BCBA_1886_CH,BCBA_1886_MEM,BCBA_1887_CH,BCBA_1887_MEM,BCBA_1888_CH,BCBA_1888_MEM,BCBA_1889_CH,BCBA_1889_MEM,BCBA_1890_CH,BCBA_1890_MEM,VBSC_1867_CH,VBSC_1867_MEM,VBSC_1868_CH,VBSC_1868_MEM,VBSC_1879_CH,VBSC_1879_MEM,VBSC_1880_CH,VBSC_1880_MEM,VBSC_1881_CH,VBSC_1881_MEM,VBSC_1882_CH,VBSC_1882_MEM,VBSC_1883_CH,VBSC_1883_MEM,VBSC_1884_CH,VBSC_1884_MEM,VBSC_1885_CH,VBSC_1885_MEM,VBSC_1886_CH,VBSC_1886_MEM,VBSC_1887_CH,VBSC_1887_MEM,VBSC_1888_CH,VBSC_1888_MEM,VBSC_1889_CH,VBSC_1889_MEM,VBSC_1890_CH,VBSC_1890_MEM,CSBA_1881_CH,CSBA_1881_MEM,NNBA_1881_CH,IPUMS_ID_Number_Location,CONG_DIST_NUMBER_1880,NUMBER_VOTES_GOVERNOR_DEMOCRAT_1881 _V327,NUMBER_VOTES_GOVERNOR_READJUSTER_1881 _V328,TOT_VOTE_GOV_1881 _V329,PERCENT_VOTES_DEM_1881,PERCENT_VOTES_REP_1881,MC_TOT_CH_1883,MC_B_CH_1883,MC_M_CH_1883,MC_O_CH_1883,MC_NUM_NAMES_1883,MC_NOTES_1883,DELEGATE_VA_HOUSE,DELEGATE_VA_HOUSE_TERM,SUPPORT_REP_1881,SUPPORT_REP_1885,SUPPORT_REP_1877
61,Culpeper,County,Culpeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,682,,,,,,,,,,,,,,,,,,,,,,,,,,470,8,1196,1251,2447,49,51,,,,,,,,,Y,,
62,Cumberland,County,Cumberland,"Robinson, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,4,429,937,1366,31,69,7,0,0,7,,,"DUNGEE, SHED",1879,Y,Y,
63,Dinwiddie,County,Dinwiddie,,X,X,X,X,,,X,8,4421,X,9,4858,X,9,4837,X,10,4919,X,11,5038,X,11,4957,,,,,,,,,,,,,,,,,,,,,1,1669,1,1695,5,6126,3,5670,3,5082,3,5910,3,5854,3,6527,3,6621,4,6524,4,3259,4,3108,3,2957,5,2592,6,3814,,530,4,477,909,1386,34,66,,,,,,,,,Y,Y,
64,Elizabeth City,County,Elizabeth City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1161,1,1249,2,3150,2,3084,2,2238,2,2450,2,2481,3,4002,4,3779,1,194,,,3,3396,3,3428,2,3807,,,,550,2,329,1020,1349,24,76,5,4,1,0,,,,,Y,Y,
65,Essex,County,Essex,"Breedlove, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,N/A,1,,1,,1,,1,168,1,164,1,163,1,29,1,170,2,153,2,459,2,326,4,546,3,570,1,717,794,1511,47,53,,,,,,,,,Y,Y,
66,Fairfax,County,Fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,52,1,53,2,213,1,52,1,57,1,73,1,71,2,112,2,147,,,,590,8,1526,1666,3192,48,52,7,4,3,0,,,"HARRIS, A. W.",1881,Y,,
67,Fauquier,County,Fauquier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67,1,67,1,69,1,74,1,75,1,75,1,82,1,75,1,104,1,104,1,102,1,102,,,,610,8,2140,1423,3563,60,40,,,,,,,,,,,
68,Floyd,County,Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,5,622,974,1596,39,61,,,,,,,,,Y,Y,
69,Fluvanna,County,Fluvanna,"Barrett, James D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,189,,650,7,502,796,1298,39,61,,,,,,,,,Y,,
70,Franklin,County,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,5,1588,1555,3143,51,49,15,5,4,7,,,,,,,
71,Frederick,County,Frederick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,8,1478,714,2192,67,33,,,,,,,,,,,
72,Giles,County,Giles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,9,718,625,1343,53,47,,,,,,,,,,,
